date,avg_price,last_price,market_value,order_book_id,quantity,symbol
2015-12-16,18.16,16.96,179776.0,600036.XSHG,10600.0,招商银行
2015-12-17,15.9,12.07,378998.0,000001.XSHE,31400.0,平安银行
2015-12-17,18.16,17.1,181260.0,600036.XSHG,10600.0,招商银行
2015-12-18,15.9,12.23,384022.0,000001.XSHE,31400.0,平安银行
2015-12-18,18.16,17.52,185712.0,600036.XSHG,10600.0,招商银行
2015-12-21,15.9,12.51,392814.0,000001.XSHE,31400.0,平安银行
2015-12-21,18.16,18.23,193238.0,600036.XSHG,10600.0,招商银行
2015-12-22,15.9,12.43,390302.0,000001.XSHE,31400.0,平安银行
2015-12-22,18.16,18.27,193662.0,600036.XSHG,10600.0,招商银行
2015-12-23,15.9,12.48,391872.0,000001.XSHE,31400.0,平安银行
2015-12-23,18.16,18.19,192814.0,600036.XSHG,10600.0,招商银行
2015-12-24,15.9,12.34,387476.0,000001.XSHE,31400.0,平安银行
2015-12-24,18.16,18.14,192284.0,600036.XSHG,10600.0,招商银行
2015-12-25,15.9,12.41,389674.0,000001.XSHE,31400.0,平安银行
2015-12-25,18.16,18.33,194298.0,600036.XSHG,10600.0,招商银行
2015-12-28,15.9,11.98,376172.0,000001.XSHE,31400.0,平安银行
2015-12-28,18.16,17.84,189104.0,600036.XSHG,10600.0,招商银行
2015-12-29,15.9,12.09,379626.0,000001.XSHE,31400.0,平安银行
2015-12-29,18.16,17.94,190164.0,600036.XSHG,10600.0,招商银行
2015-12-30,15.9,12.1,379940.0,000001.XSHE,31400.0,平安银行
2015-12-30,18.16,18.26,193556.0,600036.XSHG,10600.0,招商银行
2015-12-31,15.9,11.99,376486.0,000001.XSHE,31400.0,平安银行
2015-12-31,18.16,17.99,190694.0,600036.XSHG,10600.0,招商银行
2016-01-04,15.9,11.33,355762.0,000001.XSHE,31400.0,平安银行
2016-01-04,18.16,17.28,183168.0,600036.XSHG,10600.0,招商银行
2016-01-05,15.9,11.4,357960.0,000001.XSHE,31400.0,平安银行
2016-01-05,18.16,17.23,182638.0,600036.XSHG,10600.0,招商银行
2016-01-06,15.9,11.53,362042.0,000001.XSHE,31400.0,平安银行
2016-01-06,18.16,17.31,183486.0,600036.XSHG,10600.0,招商银行
2016-01-07,15.9,10.94,343516.0,000001.XSHE,31400.0,平安银行
2016-01-07,18.16,16.67,176702.0,600036.XSHG,10600.0,招商银行
2016-01-08,15.9,11.12,349168.0,000001.XSHE,31400.0,平安银行
2016-01-08,18.16,16.81,178186.0,600036.XSHG,10600.0,招商银行
2016-01-11,15.9,10.76,337864.0,000001.XSHE,31400.0,平安银行
2016-01-11,18.16,16.04,170024.0,600036.XSHG,10600.0,招商银行
2016-01-12,15.9,10.81,339434.0,000001.XSHE,31400.0,平安银行
2016-01-12,18.16,15.98,169388.0,600036.XSHG,10600.0,招商银行
2016-01-13,15.9,10.71,336294.0,000001.XSHE,31400.0,平安银行
2016-01-13,18.16,15.87,168222.0,600036.XSHG,10600.0,招商银行
2016-01-14,15.9,10.77,338178.0,000001.XSHE,31400.0,平安银行
2016-01-14,18.16,15.89,168434.0,600036.XSHG,10600.0,招商银行
2016-01-15,15.9,10.46,328444.0,000001.XSHE,31400.0,平安银行
2016-01-15,18.16,15.48,164088.0,600036.XSHG,10600.0,招商银行
2016-01-18,15.9,10.41,326874.0,000001.XSHE,31400.0,平安银行
2016-01-18,18.16,15.42,163452.0,600036.XSHG,10600.0,招商银行
2016-01-19,15.9,10.71,336294.0,000001.XSHE,31400.0,平安银行
2016-01-19,18.16,15.71,166526.0,600036.XSHG,10600.0,招商银行
2016-01-20,15.9,10.54,330956.0,000001.XSHE,31400.0,平安银行
2016-01-20,18.16,15.52,164512.0,600036.XSHG,10600.0,招商银行
2016-01-21,15.9,10.32,324048.0,000001.XSHE,31400.0,平安银行
2016-01-21,18.16,15.3,162180.0,600036.XSHG,10600.0,招商银行
2016-01-22,15.9,10.4,326560.0,000001.XSHE,31400.0,平安银行
2016-01-22,18.16,15.28,161968.0,600036.XSHG,10600.0,招商银行
2016-01-25,15.9,10.37,325618.0,000001.XSHE,31400.0,平安银行
2016-01-25,18.16,15.48,164088.0,600036.XSHG,10600.0,招商银行
2016-01-26,15.9,9.87,309918.0,000001.XSHE,31400.0,平安银行
2016-01-26,18.16,14.86,157516.0,600036.XSHG,10600.0,招商银行
2016-01-27,15.9,9.88,310232.0,000001.XSHE,31400.0,平安银行
2016-01-27,18.16,15.0,159000.0,600036.XSHG,10600.0,招商银行
2016-01-28,15.9,9.69,304266.0,000001.XSHE,31400.0,平安银行
2016-01-28,18.16,14.72,156032.0,600036.XSHG,10600.0,招商银行
2016-01-29,15.9,10.0,314000.0,000001.XSHE,31400.0,平安银行
2016-01-29,18.16,14.99,158894.0,600036.XSHG,10600.0,招商银行
2016-02-01,15.9,9.8,307720.0,000001.XSHE,31400.0,平安银行
2016-02-01,18.16,14.72,156032.0,600036.XSHG,10600.0,招商银行
2016-02-02,15.9,9.95,312430.0,000001.XSHE,31400.0,平安银行
2016-02-02,18.16,14.85,157410.0,600036.XSHG,10600.0,招商银行
2016-02-03,15.9,9.85,309290.0,000001.XSHE,31400.0,平安银行
2016-02-03,18.16,14.67,155502.0,600036.XSHG,10600.0,招商银行
2016-02-04,15.9,9.95,312430.0,000001.XSHE,31400.0,平安银行
2016-02-04,18.16,14.88,157728.0,600036.XSHG,10600.0,招商银行
2016-02-05,15.9,9.92,311488.0,000001.XSHE,31400.0,平安银行
2016-02-05,18.16,14.86,157516.0,600036.XSHG,10600.0,招商银行
2016-02-15,15.9,9.79,307406.0,000001.XSHE,31400.0,平安银行
2016-02-15,18.16,14.66,155396.0,600036.XSHG,10600.0,招商银行
2016-02-16,15.9,10.01,314314.0,000001.XSHE,31400.0,平安银行
2016-02-16,18.16,14.94,158364.0,600036.XSHG,10600.0,招商银行
2016-02-17,15.9,10.15,318710.0,000001.XSHE,31400.0,平安银行
2016-02-17,18.16,15.03,159318.0,600036.XSHG,10600.0,招商银行
2016-02-18,15.9,10.09,316826.0,000001.XSHE,31400.0,平安银行
2016-02-18,18.16,14.9,157940.0,600036.XSHG,10600.0,招商银行
2016-02-19,15.9,10.04,315256.0,000001.XSHE,31400.0,平安银行
2016-02-19,18.16,14.75,156350.0,600036.XSHG,10600.0,招商银行
2016-02-22,15.9,10.29,323106.0,000001.XSHE,31400.0,平安银行
2016-02-22,18.16,15.01,159106.0,600036.XSHG,10600.0,招商银行
2016-02-23,15.9,10.12,317768.0,000001.XSHE,31400.0,平安银行
2016-02-23,18.16,14.83,157198.0,600036.XSHG,10600.0,招商银行
2016-02-24,15.9,10.15,318710.0,000001.XSHE,31400.0,平安银行
2016-02-24,18.16,14.81,156986.0,600036.XSHG,10600.0,招商银行
2016-02-25,15.9,9.67,303638.0,000001.XSHE,31400.0,平安银行
2016-02-25,18.16,14.25,151050.0,600036.XSHG,10600.0,招商银行
2016-02-26,15.9,9.79,307406.0,000001.XSHE,31400.0,平安银行
2016-02-26,18.16,14.45,153170.0,600036.XSHG,10600.0,招商银行
2016-02-29,15.9,9.56,300184.0,000001.XSHE,31400.0,平安银行
2016-02-29,18.16,14.56,154336.0,600036.XSHG,10600.0,招商银行
